,brewery_name,brewery_address,brewery_type,bstate,bzip,blat,blng,lat,lng
0,(405) Brewing Co,"1716 Topeka St, Norman, OK 73069-8224",Micro,OK,73069,35.228649,-97.45629,,
1,(512) Brewing Co,"407 Radam Ln Ste F200, Austin, TX 78745-1197",Micro,TX,78745,30.207559000000003,-97.79575,,
2,10 Torr Distilling and Brewing,"490 Mill St, Reno, NV 89502",Micro,NV,89502,39.499862,-119.77497,,
3,101 Brewery,"294793 US Highway 101, Quilcene, WA 98376-9000",Brewpub,WA,98376,47.826111,-122.85233000000001,,
4,101 North Brewing Company,"1304 Scott St Ste D, Petaluma, CA 94954-7100",Micro,CA,94954,38.243299,-122.6069,,
5,105 West Brewing Co,"1043 Park St, Castle Rock, CO 80109-1585",Micro,CO,80109,39.380857,-104.89947,,
6,10-56 Brewing Company,"2120 S US Hwy 35, Knox, IN 46534",Micro,IN,46534,41.282821999999996,-86.61613,,
7,10K Brewing,"2005 2nd Ave, Anoka, MN 55303-2243",Micro,MN,55303,45.247509,-93.41799999999999,,
8,10th District Brewing Company,"491 Washington St, Abington, MA 02351-2419",Micro,MA,2351,42.119534,-70.94787,,
9,11 Below Brewing Company,"6820 Bourgeois Rd, Houston, TX 77066-3107",Micro,TX,77066,29.959439,-95.49694000000001,,
10,1188 Brewing Co,"141 E Main St, John Day, OR 97845-1210",Brewpub,OR,97845,44.408646000000005,-118.95121999999999,,
11,12 Gates Brewing Company,"80 Earhart Dr Ste 20, Williamsville, NY 14221-7804",Brewpub,NY,14221,42.977456,-78.73356,,
12,12 West Brewing Company,"3000 E Ray Rd Bldg 6, Gilbert, AZ 85296-7832",Micro,AZ,85296,33.319722,-111.76078000000001,,
13,12 West Brewing Company - Production Facility,"7733 E McDowell Rd, Mesa, AZ 85207",Micro,AZ,85207,33.436766999999996,-111.64338000000001,,
14,127 Brewing,"3090 Shirley Dr, Jackson, MI 49201-7010",Micro,MI,49201,42.252268,-84.38842,,
15,12Degree Brewing,"820 Main St, Louisville, CO 80027-1865",Brewpub,CO,80027,39.963322,-105.15053,,
16,12welve Eyes Brewing,"141 E 4th St Ste LL2, Saint Paul, MN 55101-1639",Micro,MN,55101,44.964852,-93.08397,,
17,13 Below Brewery,"7391 Forbes Rd, Cincinnati, OH 45233-1013",Micro,OH,45233,39.117065000000004,-84.67173000000001,,
18,13 Point Brewing,"8035 Broadway, Lemon Grove, CA 91945",Micro,CA,91945,32.733451,-117.0337,,
19,13 Stripes Brewery,"250 Mill St, Suite PW3101, Taylors, SC 29687",Brewpub,SC,29687,34.935635999999995,-82.32238000000001,,
20,13 Virtues Brewing Co,"6410 SE Milwaukie Ave, Portland, OR 97202-5518",Brewpub,OR,97202,45.481790999999994,-122.64055,,
21,1323 R & D,"1323 Capital Blvd 1323 R and D, Raleigh, NC 27603-1117",Micro,NC,27603,35.716105,-78.65734,,
22,13th Child Brewery,"345 S Main St, Williamstown, NJ 08094",Micro,NJ,8094,39.647597999999995,-74.95926999999999,,
23,14 Cannons Brewing Company,"31125 Via Colinas Ste 907, Westlake Village, CA 91362-3974",Micro,CA,91362,34.190804,-118.83703999999999,,
24,14er Brewing Company,"3120 Blake St, Denver, CO 80205",Micro,CO,80205,39.758986,-104.96678,,
25,14th Star Brewing,"133 N Main St Ste 7, Saint Albans, VT 05478-1735",Micro,VT,5478,44.807555,-73.09076999999999,,
26,15-24 Brew House,"420 Lincoln Ave., Clay Center, KS 67432",Brewpub,KS,67432,39.341513,-97.1552,,
27,16 Lots Brewing,"753 Reading Rd, Mason, OH 45040-1303",Brewpub,OH,45040,39.344258,-84.3152,,
