,name,categories,lat,lng,brewery_name
0,Weldwerks,Brewery,40.42809325201641,-104.69059130840215,WeldWerks Brewing Co.
1,Patrick's Irish Pub,Bar,40.423477560279,-104.69103813171387,WeldWerks Brewing Co.
2,Cranford Cove Tea Tavern,Café,40.42268332672236,-104.69206781898659,WeldWerks Brewing Co.
3,Batter Up Cakes,Cupcake Shop,40.4236537222666,-104.6910880189168,WeldWerks Brewing Co.
4,Wiley Roots Brewery,Brewery,40.43142237094327,-104.68845210373152,WeldWerks Brewing Co.
5,Rumi's House of Kabob,Middle Eastern Restaurant,40.42372996667942,-104.69701728429344,WeldWerks Brewing Co.
6,The Nerd Store,Comic Shop,40.42507227568536,-104.69141627221805,WeldWerks Brewing Co.
7,Daruma Noodles,Asian Restaurant,40.41172151419831,-104.69067585084984,WeldWerks Brewing Co.
8,Cheba Hut Toasted Subs,Sandwich Place,40.41211,-104.69123,WeldWerks Brewing Co.
9,The Kress Cinema & Lounge,Indie Movie Theater,40.424145647189604,-104.6910314879141,WeldWerks Brewing Co.
10,Syntax Spirits Distillery and Tasting Bar,Distillery,40.43144421845097,-104.68831382837809,WeldWerks Brewing Co.
11,Stuft Burger Bar,Burger Joint,40.424143564918786,-104.69182822230839,WeldWerks Brewing Co.
12,Greeley Recreation Center,Athletics & Sports,40.425969295141115,-104.69489217311607,WeldWerks Brewing Co.
13,The Human Bean,Coffee Shop,40.4225244485246,-104.72351755254316,WeldWerks Brewing Co.
14,The Mad Cow Saloon & Eatery,Bar,40.423644710097136,-104.69082518804315,WeldWerks Brewing Co.
15,Doug’s Day Diner,Breakfast Spot,40.424019,-104.691117,WeldWerks Brewing Co.
16,Zoe's,Coffee Shop,40.42301052361851,-104.69002997650348,WeldWerks Brewing Co.
17,Island Grove Regional Park,Park,40.43874689171652,-104.70154397435782,WeldWerks Brewing Co.
18,The Moxi Theater,Concert Hall,40.42358108175364,-104.69118211288806,WeldWerks Brewing Co.
19,Taste Of Philly,American Restaurant,40.41387573235221,-104.6922304749694,WeldWerks Brewing Co.
