STATE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AK ,2415.76 ,2067.69 ,2263.65 ,1929.15 ,2251.02 ,2312.43 ,2155.60 ,2114.97 ,4511.48 ,13315.93 ,15649.51 
AL ,658.60 ,723.53 ,238.60 ,161.24 ,nan,46.50 ,130.55 ,226.25 ,6109.99 ,23810.78 ,27651.36 
AR ,1246.00 ,1328.35 ,1279.34 ,1331.85 ,1124.98 ,1265.93 ,558.14 ,657.12 ,1609.38 ,6091.89 ,9499.40 
AZ ,15668.09 ,14857.81 ,15640.69 ,16800.24 ,19897.83 ,19165.96 ,18763.52 ,17173.00 ,29869.10 ,41613.95 ,43712.65 
CA ,63557.26 ,61172.74 ,54504.99 ,58276.38 ,65069.70 ,64239.95 ,60559.56 ,65035.40 ,124974.70 ,201066.01 ,248521.97 
CO ,48316.88 ,48528.59 ,49895.79 ,50584.87 ,60811.37 ,57966.73 ,60133.43 ,72839.26 ,121814.79 ,141312.55 ,142288.21 
CT ,2993.33 ,2205.67 ,2075.57 ,1988.38 ,2530.80 ,1876.05 ,1770.05 ,1447.60 ,13218.19 ,10705.61 ,18811.61 
DC ,2905.21 ,2957.74 ,2948.61 ,3574.26 ,1676.54 ,1572.75 ,2250.90 ,4504.30 ,7207.31 ,8969.72 ,9277.98 
DE ,2396.49 ,2005.33 ,2205.38 ,2308.99 ,2541.38 ,2718.28 ,2868.28 ,2771.70 ,5865.02 ,7647.56 ,8954.17 
FL ,8376.90 ,7078.61 ,6426.66 ,7554.46 ,6761.68 ,6817.80 ,6440.29 ,6585.28 ,38265.32 ,88092.72 ,113566.64 
GA ,3949.61 ,3751.97 ,3038.61 ,4165.69 ,4248.35 ,3480.30 ,4647.37 ,4432.32 ,17920.74 ,30539.97 ,36601.97 
HI ,2728.47 ,1875.20 ,1578.85 ,1680.25 ,1886.65 ,2084.01 ,1972.63 ,1380.60 ,4131.20 ,5623.03 ,8421.60 
IA ,6202.53 ,6817.26 ,6487.26 ,6597.31 ,6808.03 ,6515.51 ,6003.19 ,5676.54 ,17866.34 ,29975.60 ,47348.70 
ID ,4246.57 ,3385.10 ,3195.88 ,4089.04 ,5305.86 ,5376.69 ,4675.48 ,4573.66 ,13809.09 ,7812.70 ,8764.29 
IL ,17948.66 ,17941.55 ,17090.05 ,20051.70 ,22028.03 ,23229.73 ,26271.03 ,91311.09 ,46217.44 ,72776.50 ,96985.03 
IN ,7748.24 ,8775.27 ,9190.01 ,10589.68 ,11063.82 ,13120.19 ,13119.35 ,16356.60 ,32880.57 ,36829.47 ,40270.61 
KS ,7207.89 ,7386.89 ,6970.03 ,7579.85 ,8113.96 ,7821.78 ,7415.82 ,7461.26 ,6624.10 ,9095.51 ,11111.75 
KY ,4235.65 ,5205.78 ,5672.58 ,5289.92 ,4597.34 ,4949.54 ,6460.08 ,6234.52 ,7183.35 ,16546.76 ,25012.71 
LA ,1455.94 ,1421.57 ,1513.57 ,1775.20 ,1535.77 ,1606.10 ,1723.51 ,1579.10 ,6238.54 ,9478.39 ,14193.09 
MA ,10501.79 ,10612.91 ,11547.20 ,12231.98 ,10142.24 ,10298.65 ,12570.98 ,10352.16 ,18915.57 ,78787.14 ,71308.10 
MD ,8744.83 ,6787.24 ,7577.58 ,7525.49 ,7559.49 ,6958.28 ,7771.25 ,7534.65 ,17339.14 ,23190.15 ,27405.42 
ME ,4725.47 ,5094.65 ,5528.07 ,6978.09 ,6717.44 ,7404.90 ,7960.51 ,7501.97 ,14981.92 ,27827.95 ,36085.65 
MI ,20441.09 ,21484.83 ,22590.99 ,23176.79 ,23766.64 ,25243.93 ,28431.97 ,31218.34 ,55195.44 ,100487.69 ,110010.52 
MN ,8776.75 ,8568.38 ,7928.92 ,8360.51 ,9205.09 ,11376.94 ,11984.66 ,12425.12 ,35484.79 ,50565.24 ,57107.17 
MO ,12709.32 ,14793.83 ,13213.42 ,13289.38 ,14315.99 ,14047.28 ,12949.37 ,13379.38 ,18369.10 ,27933.48 ,27722.27 
MS ,nan,nan,5.81 ,12.58 ,3.23 ,40.12 ,nan,nan,6197.57 ,6899.51 ,7504.02 
MT ,100.34 ,1039.61 ,1827.57 ,2944.97 ,3806.30 ,4375.87 ,4373.97 ,5997.94 ,25759.63 ,30906.36 ,34049.45 
NC ,13480.81 ,14561.53 ,14406.80 ,20184.07 ,20768.59 ,17604.53 ,21871.66 ,19005.47 ,52073.41 ,106408.50 ,113168.26 
ND ,609.06 ,648.33 ,626.62 ,731.62 ,772.39 ,817.70 ,1374.55 ,1346.63 ,2322.25 ,2809.64 ,5287.38 
NE ,5259.89 ,3927.23 ,5007.46 ,5392.27 ,6111.78 ,5596.83 ,6392.80 ,3651.12 ,6340.13 ,9731.87 ,14868.05 
NH ,3964.37 ,4543.38 ,4645.59 ,5272.03 ,5912.51 ,6262.36 ,6077.87 ,6006.92 ,8634.11 ,16905.67 ,26766.46 
NJ ,5127.00 ,4958.40 ,4944.87 ,5642.15 ,5500.47 ,5385.10 ,5535.97 ,5907.92 ,19453.22 ,35059.60 ,46652.56 
NM ,5818.64 ,7263.27 ,8925.99 ,12544.54 ,13349.80 ,13875.29 ,13652.70 ,13396.75 ,14181.52 ,14793.89 ,17972.50 
NV ,15040.24 ,15454.08 ,14003.16 ,15618.93 ,15819.59 ,15331.77 ,14612.82 ,16234.04 ,21635.99 ,17457.76 ,13490.94 
NY ,11320.37 ,12354.42 ,12034.50 ,11614.30 ,14572.00 ,18110.04 ,24800.93 ,38325.34 ,44491.79 ,57825.54 ,72923.16 
OH ,7119.78 ,8070.58 ,7718.23 ,8426.00 ,9229.08 ,11293.61 ,11632.86 ,12905.42 ,30296.19 ,50547.69 ,68427.59 
OK ,3905.71 ,3115.11 ,2621.87 ,2580.03 ,2354.06 ,2198.78 ,2381.47 ,2459.74 ,9930.51 ,9525.21 ,9870.47 
OR ,16962.21 ,20091.20 ,23391.44 ,27650.00 ,32250.56 ,34755.42 ,37006.39 ,33472.70 ,88028.35 ,110352.94 ,121426.13 
PA ,20048.89 ,20690.29 ,24100.19 ,26916.15 ,32025.24 ,33773.09 ,31943.35 ,30228.30 ,44275.02 ,55589.65 ,64816.03 
RI ,908.37 ,940.31 ,692.41 ,788.29 ,901.31 ,716.47 ,830.80 ,987.13 ,961.74 ,5280.88 ,6716.45 
SC ,3492.61 ,3250.91 ,2901.18 ,3091.56 ,3037.92 ,2904.66 ,2711.72 ,3131.64 ,11328.32 ,30163.30 ,29784.13 
SD ,946.52 ,879.82 ,860.25 ,1186.62 ,824.63 ,773.45 ,909.14 ,1336.27 ,1731.45 ,3217.49 ,5544.92 
TN ,10370.86 ,12092.40 ,11977.06 ,13633.63 ,9702.23 ,10103.13 ,9965.75 ,9220.38 ,18757.66 ,35673.47 ,38004.31 
TX ,7133.91 ,9670.24 ,9814.02 ,10556.49 ,10299.17 ,8503.31 ,9242.60 ,9471.81 ,62757.74 ,101466.52 ,134192.39 
UT ,6300.55 ,6446.05 ,5941.77 ,5226.60 ,5238.62 ,4595.18 ,3953.10 ,5875.72 ,4302.44 ,6283.83 ,8391.41 
VA ,11810.66 ,11976.19 ,12379.87 ,12732.37 ,12098.41 ,10414.51 ,12450.88 ,12352.47 ,36003.33 ,68666.78 ,108714.91 
VT ,3489.62 ,3486.81 ,3587.06 ,3661.94 ,3263.23 ,2216.50 ,2563.85 ,2692.34 ,10792.93 ,13299.51 ,19774.72 
WA ,19697.39 ,17195.23 ,17651.64 ,19965.32 ,18205.29 ,17362.29 ,17770.87 ,18066.36 ,45357.11 ,78538.88 ,91329.51 
WI ,15433.97 ,14919.93 ,14700.40 ,16669.97 ,19882.13 ,18853.61 ,19250.29 ,17885.54 ,34649.49 ,55487.79 ,64904.85 
WV ,865.02 ,608.65 ,78.00 ,7.16 ,nan,14.85 ,422.15 ,420.50 ,3653.33 ,6766.41 ,7129.94 
WY ,322.24 ,2135.61 ,2518.90 ,2681.61 ,3178.55 ,3528.21 ,3544.63 ,3133.63 ,5403.20 ,14370.22 ,20617.48 
