Year,Month,interest
2004,1,4
2004,2,6
2004,3,1
2004,4,2
2004,5,1
2004,6,3
2004,7,1
2004,8,3
2004,9,1
2004,10,1
2004,11,1
2004,12,1
2005,1,1
2005,2,1
2005,3,3
2005,4,3
2005,5,1
2005,6,2
2005,7,3
2005,8,5
2005,9,1
2005,10,4
2005,11,2
2005,12,4
2006,1,3
2006,2,3
2006,3,2
2006,4,2
2006,5,3
2006,6,3
2006,7,3
2006,8,4
2006,9,4
2006,10,2
2006,11,2
2006,12,4
2007,1,4
2007,2,4
2007,3,5
2007,4,4
2007,5,4
2007,6,4
2007,7,5
2007,8,4
2007,9,3
2007,10,2
2007,11,6
2007,12,6
2008,1,4
2008,2,9
2008,3,7
2008,4,6
2008,5,6
2008,6,10
2008,7,6
2008,8,6
2008,9,7
2008,10,4
2008,11,5
2008,12,5
2009,1,7
2009,2,7
2009,3,8
2009,4,9
2009,5,12
2009,6,12
2009,7,8
2009,8,8
2009,9,13
2009,10,7
2009,11,6
2009,12,6
2010,1,7
2010,2,10
2010,3,10
2010,4,11
2010,5,16
2010,6,17
2010,7,12
2010,8,11
2010,9,18
2010,10,12
2010,11,12
2010,12,13
2011,1,16
2011,2,19
2011,3,22
2011,4,22
2011,5,39
2011,6,25
2011,7,21
2011,8,24
2011,9,26
2011,10,23
2011,11,20
2011,12,22
2012,1,24
2012,2,28
2012,3,33
2012,4,35
2012,5,50
2012,6,35
2012,7,35
2012,8,35
2012,9,33
2012,10,33
2012,11,33
2012,12,37
2013,1,34
2013,2,38
2013,3,48
2013,4,51
2013,5,76
2013,6,58
2013,7,50
2013,8,56
2013,9,54
2013,10,51
2013,11,52
2013,12,57
2014,1,53
2014,2,61
2014,3,62
2014,4,73
2014,5,89
2014,6,68
2014,7,76
2014,8,74
2014,9,69
2014,10,69
2014,11,63
2014,12,72
2015,1,62
2015,2,75
2015,3,81
2015,4,88
2015,5,100
2015,6,82
2015,7,83
2015,8,79
2015,9,79
2015,10,73
2015,11,72
2015,12,78
2016,1,68
2016,2,74
2016,3,82
2016,4,87
2016,5,93
2016,6,86
2016,7,84
2016,8,73
2016,9,78
2016,10,70
2016,11,64
2016,12,77
2017,1,65
2017,2,73
2017,3,77
2017,4,87
2017,5,88
2017,6,89
2017,7,87
2017,8,80
2017,9,70
2017,10,69
2017,11,66
2017,12,71
2018,1,60
2018,2,67
2018,3,69
2018,4,77
2018,5,74
2018,6,80
2018,7,76
2018,8,76
2018,9,70
2018,10,63
2018,11,64
2018,12,73
2019,1,60
2019,2,63
2019,3,72
2019,4,69
